price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
8101058,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
4002432,4600,4,1,2,yes,no,no,no,no,0,no,semi-furnished
13638439,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
3034929,2430,3,1,1,no,no,no,no,no,0,no,unfurnished
4175538,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
8240553,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
3822427,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
7296789,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
5544396,6300,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
9136832,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
3729883,2500,2,1,1,no,no,no,no,yes,0,no,unfurnished
4922295,3968,3,1,2,no,no,no,no,no,0,no,semi-furnished
3825363,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
3527622,4500,3,1,2,yes,no,no,no,yes,0,no,unfurnished
3615558,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
4044611,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
7371787,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
4346955,3180,4,2,2,yes,no,no,no,no,0,no,furnished
2658687,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
8284742,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
4350153,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
5055135,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
5136057,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
10619961,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
4576841,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
7233069,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
3921173,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
4942415,3500,4,1,2,yes,no,no,no,no,2,no,furnished
6034344,7800,3,1,1,yes,no,yes,no,yes,2,yes,unfurnished
4436876,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
2094227,2990,2,1,1,no,no,no,no,no,1,no,unfurnished
6613982,7000,3,1,1,yes,no,yes,no,no,2,yes,semi-furnished
4702149,4840,3,1,2,yes,no,no,no,no,1,no,semi-furnished
3179449,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
2512521,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
3041267,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
4561914,3000,4,1,3,yes,no,yes,no,yes,2,no,semi-furnished
5046974,2550,3,1,2,yes,no,yes,no,no,0,no,furnished
5680637,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
3327002,3000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
2779280,2880,3,1,1,no,no,no,no,no,0,no,unfurnished
8094316,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
3297406,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
5075924,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
9823680,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
4651204,3680,3,2,2,yes,no,no,no,no,0,no,semi-furnished
3460311,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
6177527,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
4869914,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
5781386,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3971725,3640,2,1,1,yes,no,no,no,no,0,no,unfurnished
3822920,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
3253894,2640,2,1,1,no,no,no,no,no,1,no,furnished
4304416,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
4685799,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
6665271,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
6972443,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
4027592,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
7366939,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
3558566,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
4511364,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
5562640,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
3452825,3090,3,1,2,no,no,no,no,no,0,no,semi-furnished
6609992,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
9828727,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
7525089,6000,4,2,4,yes,no,no,no,yes,0,no,unfurnished
7021974,5450,4,2,1,yes,no,yes,no,yes,0,yes,semi-furnished
4932914,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
3767958,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
6951907,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7690744,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
3392897,5076,3,1,1,no,no,no,no,no,0,no,unfurnished
2510090,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
3911069,7424,3,1,1,no,no,no,no,no,0,no,unfurnished
8270253,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
5902457,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
5218003,3880,3,2,2,yes,no,yes,no,no,2,no,semi-furnished
5017780,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
8780453,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
6797280,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
5849843,4500,4,2,1,no,no,yes,no,yes,2,no,semi-furnished
3242746,3600,3,1,2,no,no,no,no,no,1,no,unfurnished
6222064,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
6998588,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
4196070,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
4560083,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
5162392,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
10159989,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
10352021,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
4371020,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
6795352,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
3205306,5200,4,1,3,yes,no,no,no,no,0,no,unfurnished
7420536,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
7381213,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
5041503,3510,3,1,3,yes,no,no,no,no,0,no,semi-furnished
3836415,2700,3,1,1,no,no,no,no,no,0,no,furnished
2086629,3649,2,1,1,yes,no,no,no,no,0,no,unfurnished
13909740,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
8531500,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
4791542,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
3369661,3750,3,1,2,yes,no,no,no,no,0,no,unfurnished
5024111,8400,4,1,4,yes,no,no,no,no,3,no,unfurnished
3402609,8100,2,1,1,yes,no,no,no,no,1,no,unfurnished
5819799,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
3407978,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
5814090,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
2801511,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
5821925,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
4157885,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
4095145,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
13535061,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
1976360,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
3011751,4000,2,1,1,yes,no,no,no,no,0,no,unfurnished
3214072,6000,2,1,1,yes,no,no,no,no,0,no,semi-furnished
5485567,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
8841418,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
4990293,1905,5,1,2,no,no,yes,no,no,0,no,semi-furnished
9656326,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
5896433,3410,3,1,2,no,no,no,no,yes,0,no,semi-furnished
4992541,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3036467,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
4893691,2880,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4659599,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
7105275,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
1940091,3850,3,1,2,yes,no,no,no,no,0,no,unfurnished
3266987,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished
5635049,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
5096163,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
5417730,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
3782837,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished
2989658,2000,2,1,2,yes,no,no,no,no,0,no,semi-furnished
7414440,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
8437320,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
11180928,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
3767011,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
7522799,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
3543587,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
4054240,4500,2,1,1,yes,no,no,no,no,0,no,semi-furnished
7119906,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
7596672,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
3306706,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
10074973,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
10232017,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
3786621,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
3490548,2160,3,1,2,no,no,yes,no,no,0,no,semi-furnished
2988245,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
2011691,2910,3,1,1,no,no,no,no,no,0,no,furnished
6589458,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
4920269,4950,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
3862084,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished
3369324,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
2134552,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
6206045,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
4197033,5450,2,1,1,yes,no,no,no,no,0,no,furnished
4321632,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
5800381,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
6124727,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
7823840,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
4292369,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
4332762,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
3785775,4120,2,1,2,yes,no,no,no,no,0,no,unfurnished
6874795,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
4220324,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
5457911,12900,3,1,1,yes,no,no,no,no,2,no,furnished
4689386,6060,2,1,1,yes,no,yes,no,no,1,no,semi-furnished
5424098,8100,4,1,4,yes,no,yes,no,yes,2,no,semi-furnished
7405559,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
4101210,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
5377400,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
4018071,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
4826723,3520,3,1,2,yes,no,no,no,no,0,yes,semi-furnished
4706707,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
6438493,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
6337411,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
2544248,1836,2,1,1,no,no,yes,no,no,0,no,semi-furnished
5114405,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
6760355,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
3690028,2684,2,1,1,yes,no,no,no,yes,1,no,unfurnished
2791683,3180,3,1,1,no,no,no,no,no,0,no,unfurnished
2839824,3000,2,1,2,yes,no,no,no,no,0,no,furnished
6720303,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
8657034,6000,3,2,3,yes,no,no,no,yes,0,no,semi-furnished
2927726,4000,3,1,2,yes,no,no,no,yes,0,no,unfurnished
7858195,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
4614176,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
5493068,6720,3,1,1,yes,no,no,no,no,0,no,unfurnished
11054406,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
7362929,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
9935644,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
6555999,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
7461013,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
4673957,2787,3,1,1,yes,no,yes,no,no,0,yes,furnished
9298310,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
5188744,5010,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
5645287,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
8131806,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
3997663,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
3839573,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
4735962,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
11202212,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
6012744,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
2774526,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
6767401,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
9615278,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
4838104,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4222336,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
